Absolute Number,TS_Ver,TS_Degree of Automation,TS_State of Automation
18006,passed,Auto,Implemented
18007,passed,Auto,Implemented
18008,passed,Auto,Implemented
18184,passed,Auto,Implemented
18185,passed,Auto,Implemented
18186,,Auto,In work
18187,,Auto,In work
18188,passed,Auto,Implemented
18189,passed,Auto,Implemented
17976,passed,Auto,Implemented
17288,passed,Auto,Implemented
16223,passed,Auto,Implemented
16224,passed,Auto,Implemented
16225,passed,Auto,Implemented
4878,passed,Auto,Implemented
4873,passed,Auto,Implemented
4874,passed,Auto,Implemented
4875,passed,Auto,Implemented
4876,passed,Auto,Implemented
15973,passed,Auto,Implemented
15976,passed,Auto,Implemented
15857,passed,Auto,Implemented
15858,passed,Auto,Implemented
15859,passed,Auto,Implemented
8329,,Auto,In work
15972,,Auto,In work
15860,passed,Auto,Implemented
4863,passed,Auto,Implemented
4864,passed,Auto,Implemented
4865,passed,Auto,Implemented
4866,passed,Auto,Implemented
4883,,Auto,In work
8324,passed,Auto,Implemented
8323,passed,Auto,Implemented
8328,passed,Auto,Implemented
15974,passed,Auto,Implemented
15975,passed,Auto,Implemented
4868,passed,Auto,Implemented
4885,passed,Auto,Implemented
4884,passed,Auto,Implemented
4869,passed,Auto,Implemented
4870,passed,Auto,Implemented
4871,passed,Auto,Implemented
15880,passed,Auto,Implemented
16247,passed,Auto,Implemented
16248,passed,Auto,Implemented
16249,passed,Auto,Implemented
17559,,Auto,In work
4882,,Auto,In work
4872,,Auto,In work
16894,passed,Auto,Implemented
15878,passed,Auto,Implemented
15977,passed,Auto,Implemented
15978,passed,Auto,Implemented
15979,passed,Auto,Implemented
17995,,Auto,In work
16234,,Auto,In work
16235,,Auto,In work
16236,,Auto,In work
16237,,Auto,In work
16238,,Auto,In work
16239,,Auto,In work
15739,,Auto,In work
4894,,Auto,In work
4895,,Auto,In work
4896,,Auto,In work
4897,,Auto,In work
4900,passed,Auto,Implemented
4901,passed,Auto,Implemented
4902,,Auto,In work
4903,,Auto,In work
4905,,Auto,In work
4906,,Auto,In work
4907,,Auto,In work
4909,,Auto,In work
4912,,Auto,In work
4914,passed,Auto,Implemented
4915,passed,Auto,Implemented
4911,,Auto,In work
4922,,Auto,In work
15775,,Auto,In work
4931,passed,Auto,Implemented
4932,,Auto,In work
4937,,Auto,In work
4933,,Auto,In work
17972,,Auto,In work
4935,,Auto,In work
4936,,Auto,In work
4939,,Auto,In work
4940,,Auto,In work
4942,,Auto,In work
4943,,Auto,In work
4944,,Auto,In work
4947,,Auto,In work
4948,,Auto,In work
15981,,Auto,In work
4949,,Auto,In work
4950,,Auto,In work
4951,,Auto,In work
15776,passed,Auto,Implemented
4985,,Auto,In work
4986,,Auto,In work
4987,passed,Auto,Implemented
4988,,Auto,In work
4989,,Auto,In work
4991,,Auto,In work
4992,,Auto,In work
4993,,Auto,In work
4995,passed,Auto,Implemented
4997,passed,Auto,Implemented
4998,passed,Auto,Implemented
5000,passed,Auto,Implemented
5001,passed,Auto,Implemented
5003,passed,Auto,Implemented
5007,passed,Auto,Implemented
15983,passed,Auto,Implemented
5008,passed,Auto,Implemented
15740,passed,Auto,Implemented
5072,passed,Auto,Implemented
5073,passed,Auto,Implemented
5076,passed,Auto,Implemented
15777,passed,Auto,Implemented
5083,passed,Auto,Implemented
5086,passed,Auto,Implemented
5087,passed,Auto,Implemented
5088,passed,Auto,Implemented
5089,passed,Auto,Implemented
5090,passed,Auto,Implemented
5091,passed,Auto,Implemented
17037,passed,Auto,Implemented
5099,passed,Auto,Implemented
5102,passed,Auto,Implemented
5103,passed,Auto,Implemented
5104,passed,Auto,Implemented
5105,passed,Auto,Implemented
5106,passed,Auto,Implemented
5107,passed,Auto,Implemented
17036,passed,Auto,Implemented
5092,passed,Auto,Implemented
5093,,Auto,In work
17347,passed,Auto,Implemented
17342,passed,Auto,Implemented
17351,passed,Auto,Implemented
17343,passed,Auto,Implemented
17352,passed,Auto,Implemented
17344,passed,Auto,Implemented
5174,passed,Auto,Implemented
5177,,Auto,In work
15844,,Auto,In work
5180,,Auto,In work
5181,,Auto,In work
18245,passed,Auto,Implemented
18246,passed,Auto,Implemented
18247,passed,Auto,Implemented
18291,passed,Auto,Implemented
18292,passed,Auto,Implemented
5186,passed,Auto,Implemented
15987,passed,Auto,Implemented
5193,passed,Auto,Implemented
5194,passed,Auto,Implemented
5204,passed,Auto,Implemented
5220,passed,Auto,Implemented
5221,passed,Auto,Implemented
5223,passed,Auto,Implemented
5222,passed,Auto,Implemented
5214,passed,Auto,Implemented
5303,passed,Auto,Implemented
5304,passed,Auto,Implemented
5308,passed,Auto,Implemented
5309,passed,Auto,Implemented
5310,passed,Auto,Implemented
5314,passed,Auto,Implemented
5459,passed,Auto,Implemented
5460,passed,Auto,Implemented
5324,passed,Auto,Implemented
5325,passed,Auto,Implemented
5326,passed,Auto,Implemented
5327,passed,Auto,Implemented
5328,passed,Auto,Implemented
5461,passed,Auto,Implemented
5462,passed,Auto,Implemented
5343,passed,Auto,Implemented
5344,passed,Auto,Implemented
5354,passed,Auto,Implemented
5355,passed,Auto,Implemented
5360,passed,Auto,Implemented
5361,passed,Auto,Implemented
5362,passed,Auto,Implemented
5463,passed,Auto,Implemented
5465,passed,Auto,Implemented
5406,passed,Auto,Implemented
5409,passed,Auto,Implemented
5412,passed,Auto,Implemented
5414,passed,Auto,Implemented
5415,passed,Auto,Implemented
5469,passed,Auto,Implemented
5471,passed,Auto,Implemented
5446,passed,Auto,Implemented
5474,passed,Auto,Implemented
5419,,Auto,In work
5420,passed,Auto,Implemented
17710,passed,Auto,Implemented
5422,,Auto,In work
5424,,Auto,In work
5475,passed,Auto,Implemented
16861,passed,Auto,Implemented
